SZ002157	2020-07-01	2022-06-30
SZ002371	2020-07-01	2024-06-28
SZ002463	2020-07-01	2021-12-31
SZ003816	2020-07-01	2024-06-28
SZ300014	2020-07-01	2024-06-28
SZ300601	2020-07-01	2023-12-28
SZ300628	2020-07-01	2024-06-28
SH600161	2021-01-04	2022-12-30
SH600584	2021-01-04	2024-06-28
SH600763	2021-01-04	2023-12-28
SH600845	2021-01-04	2024-06-28
SH600872	2021-01-04	2022-06-30
SH600918	2021-01-04	2024-06-28
SH601696	2021-01-04	2022-06-30
SH601990	2021-01-04	2022-06-30
SH603087	2021-01-04	2022-12-30
SH603195	2021-01-04	2024-06-28
SH603392	2021-01-04	2024-06-28
SH688008	2021-01-04	2024-06-28
SH688009	2021-01-04	2022-06-30
SH688012	2021-01-04	2024-06-28
SH688036	2021-01-04	2024-06-28
SZ002384	2021-01-04	2021-12-31
SZ002414	2021-01-04	2023-12-28
SZ002600	2021-01-04	2023-06-30
SZ002812	2021-01-04	2024-06-28
SZ002821	2021-01-04	2024-06-28
SZ300529	2021-01-04	2023-06-30
SZ300676	2021-01-04	2022-06-30
SH600132	2021-07-01	2024-06-28
SH600426	2021-07-01	2024-06-28
SH600521	2021-07-01	2021-12-31
SH601799	2021-07-01	2024-06-28
SH601995	2021-07-01	2024-06-28
SH603233	2021-07-01	2022-06-30
SH603338	2021-07-01	2022-06-30
SH603517	2021-07-01	2022-06-30
SH603659	2021-07-01	2024-06-28
SH603806	2021-07-01	2024-06-28
SH603882	2021-07-01	2023-06-30
SH603939	2021-07-01	2022-06-30
SH688111	2021-07-01	2024-06-28
SH688126	2021-07-01	2024-06-28
SH688169	2021-07-01	2023-06-30
SH688363	2021-07-01	2024-06-28
SH688396	2021-07-01	2024-06-28
SZ300274	2021-07-01	2024-06-28
SZ300450	2021-07-01	2024-06-28
SZ300558	2021-07-01	2022-06-30
SZ300595	2021-07-01	2023-06-30
SZ300677	2021-07-01	2022-06-30
SH600905	2022-01-04	2024-06-28
SH601728	2022-01-04	2024-06-28
SH601865	2022-01-04	2024-06-28
SH601868	2022-01-04	2024-06-28
SH603486	2022-01-04	2024-06-28
SH605499	2022-01-04	2024-06-28
SH688561	2022-01-04	2024-06-28
SH688599	2022-01-04	2024-06-28
SH688981	2022-01-04	2024-06-28
SZ000301	2022-01-04	2024-06-28
SZ002064	2022-01-04	2023-12-28
SZ002459	2022-01-04	2024-06-28
SZ002709	2022-01-04	2024-06-28
SZ002791	2022-01-04	2022-12-30
SZ300316	2022-01-04	2024-06-28
SZ300750	2022-01-04	2024-06-28
SZ300759	2022-01-04	2024-06-28
SZ300760	2022-01-04	2024-06-28
SZ300782	2022-01-04	2024-06-28
SZ300866	2022-01-04	2022-12-30
SZ300888	2022-01-04	2022-06-30
SZ300896	2022-01-04	2024-06-28
SZ300999	2022-01-04	2024-06-28
SH600460	2022-07-01	2024-06-28
SH600941	2022-07-01	2024-06-28
SH601825	2022-07-01	2022-12-30
SH603185	2022-07-01	2023-12-28
SH603290	2022-07-01	2024-06-28
SH688005	2022-07-01	2023-12-28
SH688065	2022-07-01	2024-06-28
SZ000877	2022-07-01	2024-06-28
SZ001289	2022-07-01	2024-06-28
SZ002648	2022-07-01	2024-06-28
SZ002920	2022-07-01	2024-06-28
SZ300207	2022-07-01	2023-12-28
SZ300223	2022-07-01	2024-06-28
SZ300454	2022-07-01	2024-06-28
SZ300496	2022-07-01	2024-06-28
SZ300661	2022-07-01	2024-06-28
SZ300751	2022-07-01	2024-06-28
SZ300763	2022-07-01	2024-06-28
SZ300919	2022-07-01	2024-06-28
SZ300957	2022-07-01	2024-06-28
SZ300979	2022-07-01	2024-06-28
SH600039	2023-01-03	2024-06-28
SH600803	2023-01-03	2024-06-28
SH600884	2023-01-03	2023-12-28
SH601615	2023-01-03	2024-06-28
SH601689	2023-01-03	2024-06-28
SH605117	2023-01-03	2024-06-28
SH688187	2023-01-03	2024-06-28
SH688303	2023-01-03	2024-06-28
SZ000733	2023-01-03	2024-06-28
SZ002180	2023-01-03	2024-06-28
SZ002756	2023-01-03	2023-12-28
SZ300769	2023-01-03	2023-12-28
SH600732	2023-07-03	2024-06-28
SH688223	2023-07-03	2024-06-28
SZ000617	2023-07-03	2024-06-28
SH600515	2023-12-29	2024-06-28
SH600938	2023-12-29	2024-06-28
SH601059	2023-12-29	2024-06-28
SH688041	2023-12-29	2024-06-28
SH688256	2023-12-29	2024-06-28
SH688271	2023-12-29	2024-06-28
SZ300308	2023-12-29	2024-06-28
SZ301269	2023-12-29	2024-06-28
